Timestamp,I lack companionship,There is no one I can turn to,I am an outgoing person,I feel left out,I feel isolation from others,I can find companionship when I want it,I am unhappy being so withdrawn,People are around me but not with me,Where would you place yourself along this scale based on the definitions provided above?,Are you a pet-owner?,Do you  live with a pet this semester?,What pet(s) do you have? Check all that apply.,Do you live with more than one pet currently (during school this semester)? ,"If you have more than one pet, please select the one you spend the most time with to answer additional questions about, and indicate what type of animal they are below. ","If you currently live with a pet, are you involved in caring for the pet you live with?",How many hours per day do you spend interacting with your pet? ,Is your pet a registered service animal or emotional support animal providing care for you?,How long have you shared a living space with your pet?,What gender do you identify as?,What race(s) do you identify as? Check all that apply.,What school year are you in?,What is your primary academic college at CMU?,Rate your stress level during previous semesters at CMU (prior to COVID-19). Leave blank if not applicable.,How confident are you about your abilities to balance your coursework this Spring 2021 semester?,PARTICIPANT CONSENT,Rate your stress level during this semester at CMU,PARTICIPANT AGE REQUIREMENT,Do you currently live with a healthcare worker?.1,Do you currently live with someone who is immunocompromised?.1,What's your living situation this semester?.1,"During an average week in the Spring 2021 semester, how many hours do you spend on only *in-person* extracurricular activities (not including paid jobs)?  ",Do you participate in extracurricular activities (not including paid jobs)? ,Are you working a paid full-time or part-time job this Spring 2021 semester?.1,"If you have a paid job, are you employed by CMU?","If you have a paid job, what is the format of it?.1",What are the formats of your extracurricular activities? Check all that apply.,"During an average week in the Spring 2021 semester, how many hours do you spend on only *online* extracurricular activities (not including paid jobs)?  ","During an average week in the Spring 2021 semester, how many hours do you spend on *hybrid* extracurricular activities (not including paid jobs)?  "
4/8/2021 13:14:23,2,1.0,2,2,2,1,2.0,2,2,No,No,,No,,,,,,Female,Asian,second year,Carnegie Institute of Technology,4.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",7.0,I am 18 years old or older.,No,No,With friend(s) (off campus),10+ hours,Yes,No,,,In-Person,1-2 hours,
4/8/2021 13:29:14,1,1.0,3,1,3,4,3.0,1,5,Yes,No,Dog,,,,,,Less than 1 year,Female,White,second year,Dietrich College,6.0,5.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",4.0,I am 18 years old or older.,No,No,With friend(s) (off campus),10+ hours,Yes,No,,,"In-Person, Online, Hybrid",1-2 hours,less than 1 hour
4/8/2021 13:31:34,2,1.0,4,2,1,3,3.0,1,4,Yes,No,"Dog, Cat, Fish",No,,,,,,Female,White,first year,Carnegie Institute of Technology,,5.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,No,No,With friend(s) (off campus),6-10 hours,Yes,No,,,"In-Person, Online",1-2 hours,
4/8/2021 13:32:23,1,1.0,3,3,3,2,3.0,4,3,No,No,,No,,,,,,Female,White,first year,Dietrich College,,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,No,With friend(s) (off campus),6-10 hours,Yes,No,,,In-Person,less than 1 hour,
4/8/2021 13:33:52,1,1.0,3,2,2,3,2.0,2,3,Yes,No,Dog,No,,,,,,Female,"Asian, White",second year,Tepper School of Business,4.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,No,No,With friend(s) (off campus),1-2 hours,Yes,No,,,"In-Person, Online",3-5 hours,
4/8/2021 13:34:37,3,2.0,3,3,3,3,4.0,3,4,Yes,No,Dog,No,,,,No,6-9 years,Female,Asian,first year,Carnegie Institute of Technology,5.0,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,No,No,Alone (on campus),3-5 hours,Yes,No,,,"In-Person, Online, Hybrid",3-5 hours,1-2 hours
4/8/2021 13:43:41,2,1.0,3,2,2,4,2.0,1,3,Yes,Yes,Cat,No,,Yes,3-5 hours,They are a service animal or emotional support animal for someone else,Less than 1 year,Female,White,second year,Dietrich College,3.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,No,No,With friend(s) (off campus),10+ hours,Yes,No,,,"In-Person, Online",1-2 hours,
4/8/2021 17:09:51,1,1.0,3,2,1,3,1.0,1,4,No,No,,,,,,,,Female,Asian,second year,Carnegie Institute of Technology,5.0,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,No,Alone (on campus),less than 1 hour,Yes,No,,,Hybrid,3-5 hours,3-5 hours
4/9/2021 1:17:41,1,1.0,3,3,3,2,3.0,4,3,No,No,,No,,,,,,Female,White,first year,Dietrich College,,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,No,With friend(s) (off campus),6-10 hours,Yes,No,,,In-Person,less than 1 hour,
4/9/2021 16:22:15,2,1.0,3,2,2,3,1.0,1,3,No,,,,,,,,,Female,White,second year,Carnegie Institute of Technology,2.0,5.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",7.0,I am 18 years old or older.,No,No,Alone (on campus),,Yes,Yes,No,Virtual,"In-Person, Online, Hybrid",1-2 hours,1-2 hours
4/9/2021 16:58:15,2,2.0,3,2,3,4,1.0,1,2,Yes,Yes,"Dog, Cat",Yes,Cat,Yes,6-10 hours,Yes,3-5 years,Female,"American Indian or Alaska Native, Asian, Black or African American",fourth year,Carnegie Institute of Technology,7.0,7.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,No,No,Alone (on campus),less than 1 hour,Yes,No,,,"In-Person, Online",3-5 hours,
4/12/2021 15:50:11,2,2.0,2,2,2,3,2.0,2,3,No,No,,No,,,,,,Male,Asian,third year,Carnegie Institute of Technology,6.0,1.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",7.0,I am 18 years old or older.,No,No,With random roommate(s) (off campus),3-5 hours,No,No,No,,,less than 1 hour,3-5 hours
4/13/2021 0:47:53,2,2.0,1,3,2,2,3.0,2,2,No,,,,,,,,,Male,Asian,fourth year,Carnegie Institute of Technology,4.0,5.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,No,With friend(s) (off campus),,No,No,,,,,
4/13/2021 1:23:58,1,2.0,2,3,2,2,3.0,3,2,No,No,,No,,,,,,Male,Asian,5th year or above (grad students included),Carnegie Institute of Technology,5.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,No,With random roommate(s) (off campus),less than 1 hour,Yes,Yes,Yes,Hybrid,Hybrid,1-2 hours,less than 1 hour
4/13/2021 10:30:13,1,1.0,3,2,1,4,1.0,2,4,Yes,No,Dog,No,,No,,,,Female,White,fourth year,Dietrich College,5.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",2.0,I am 18 years old or older.,No,No,With friend(s) (off campus),,No,Yes,Yes,Virtual,,,
4/13/2021 11:40:02,2,2.0,2,1,1,3,2.0,2,2,No,No,None,No,,,,,,Male,Asian,fourth year,Tepper School of Business,4.0,5.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,No,No,With friend(s) (off campus),,No,No,,,,,
4/13/2021 11:43:17,2,1.0,3,1,1,4,3.0,1,2,No,,,,,,,,,Male,Asian,fourth year,Carnegie Institute of Technology,5.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,No,No,With friend(s) (off campus),,Yes,No,,,Online,1-2 hours,
4/13/2021 11:43:31,2,1.0,3,3,2,4,1.0,2,4,No,No,,No,,,,,,Female,White,third year,Dietrich College,5.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",7.0,I am 18 years old or older.,No,No,With friend(s) (off campus),10+ hours,Yes,No,,,"In-Person, Online, Hybrid",3-5 hours,1-2 hours
4/13/2021 13:12:42,3,3.0,2,3,3,2,,3,1,,No,Dog,No,,,,,,Female,Black or African American,third year,Mellon College of Science,5.0,2.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",7.0,I am 18 years old or older.,No,No,Alone (on campus),less than 1 hour,Yes,Yes,Yes,In-Person,"Online, Hybrid",1-2 hours,less than 1 hour
4/13/2021 13:13:24,2,2.0,4,2,2,3,1.0,2,2,Yes,Yes,Dog,Yes,,Yes,10+ hours,Yes,1-2 years,Female,"Asian, White",fourth year,Dietrich College,5.0,5.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",3.0,I am 18 years old or older.,No,No,With friend(s) (off campus),less than 1 hour,Yes,No,,,Online,3-5 hours,less than 1 hour
4/13/2021 13:26:45,2,1.0,4,2,2,3,2.0,2,4,Yes,Yes,"Dog, Lizard/Gecko",No,Lizard/Gecko,Yes,less than 1 hour,No,Less than 1 year,Female,White,third year,Carnegie Institute of Technology,5.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",4.0,I am 18 years old or older.,No,No,With friend(s) (off campus),1-2 hours,Yes,Yes,Yes,Virtual,Hybrid,1-2 hours,1-2 hours
4/13/2021 13:40:28,1,1.0,3,1,1,4,1.0,1,3,No,Yes,Cat,Yes,Cat,Yes,1-2 hours,No,Less than 1 year,Male,Asian,fourth year,Tepper School of Business,5.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,No,With your partner (off campus),3-5 hours,Yes,Yes,Yes,Virtual,Hybrid,1-2 hours,1-2 hours
4/13/2021 13:42:15,3,3.0,2,3,3,3,3.0,3,3,Yes,No,Dog,No,,,,,,Female,Asian,fourth year,Dietrich College,6.0,5.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,No,With friend(s) (off campus),,,No,,,,,
4/13/2021 13:43:25,2,1.0,2,3,3,4,3.0,2,3,Yes,Yes,"Fish, frog",No,,Yes,less than 1 hour,No,Less than 1 year,Female,White,first year,College of Fine Arts,,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,Yes,With friend(s) (off campus),1-2 hours,Yes,No,No,,"In-Person, Online, Hybrid",1-2 hours,1-2 hours
4/13/2021 13:46:59,2,2.0,4,2,2,3,1.0,2,2,Yes,Yes,Dog,Yes,,Yes,10+ hours,Yes,1-2 years,Female,"Asian, White",fourth year,Dietrich College,5.0,5.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",3.0,I am 18 years old or older.,No,No,With friend(s) (off campus),less than 1 hour,Yes,No,,,Online,3-5 hours,less than 1 hour
4/13/2021 13:53:56,2,2.0,3,1,1,4,3.0,1,2,No,No,,No,,,,,,Female,Asian,fourth year,Mellon College of Science,6.0,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",3.0,I am 18 years old or older.,No,No,Other,less than 1 hour,No,Yes,Yes,Virtual,,,
4/13/2021 14:22:32,2,1.0,3,2,1,4,3.0,1,2,No,No,,No,,,,,,Female,Asian,fourth year,Tepper School of Business,4.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",4.0,I am 18 years old or older.,No,No,With friend(s) (off campus),1-2 hours,Yes,No,No,,Online,3-5 hours,less than 1 hour
4/13/2021 14:32:40,1,1.0,4,2,1,4,1.0,1,3,No,No,,No,,,,,,Female,Asian,fourth year,Mellon College of Science,6.0,7.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",4.0,I am 18 years old or older.,No,No,Alone (off campus),3-5 hours,No,No,,,,,
4/13/2021 14:37:30,3,3.0,2,3,3,2,,3,1,,No,Dog,No,,,,,,Female,Black or African American,third year,Mellon College of Science,5.0,2.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",7.0,I am 18 years old or older.,No,No,Alone (on campus),less than 1 hour,Yes,Yes,Yes,In-Person,"Online, Hybrid",1-2 hours,less than 1 hour
4/13/2021 14:41:50,2,1.0,3,1,1,4,2.0,1,3,No,No,,No,,,,,,Female,Asian,fourth year,Mellon College of Science,6.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,No,No,With your partner (off campus),less than 1 hour,Yes,No,,,Online,less than 1 hour,
4/13/2021 16:47:44,3,2.0,2,4,4,2,4.0,4,3,Yes,No,"Dog, Fish",No,,,,,,Female,"Asian, White",first year,Carnegie Institute of Technology,5.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,No,Alone (on campus),1-2 hours,Yes,Yes,Yes,In-Person,"In-Person, Online",1-2 hours,
4/13/2021 20:08:37,2,4.0,3,2,2,4,1.0,2,2,Yes,Yes,Cat,No,,Yes,3-5 hours,No,Less than 1 year,Female,Asian,fourth year,School of Computer Science,5.0,7.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,No,No,Alone (off campus),less than 1 hour,No,Yes,Yes,Virtual,,less than 1 hour,less than 1 hour
4/14/2021 2:59:42,2,1.0,2,3,3,4,3.0,2,3,Yes,Yes,"Fish, frog",No,,Yes,less than 1 hour,No,Less than 1 year,Female,White,first year,College of Fine Arts,,4.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,Yes,With friend(s) (off campus),1-2 hours,Yes,No,No,,"In-Person, Online, Hybrid",1-2 hours,1-2 hours
4/14/2021 14:42:03,2,1.0,3,2,3,1,3.0,3,2,No,No,,No,,,,,,Female,Asian,third year,Tepper School of Business,6.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",6.0,I am 18 years old or older.,No,No,With your partner (off campus),1-2 hours,Yes,No,,,In-Person,,
4/18/2021 11:37:09,3,1.0,3,3,2,4,1.0,3,2,Yes,Yes,Dog,No,,Yes,3-5 hours,No,6-9 years,Female,Asian,fourth year,Mellon College of Science,6.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",3.0,I am 18 years old or older.,No,No,With friend(s) (off campus),,Yes,No,,,"Online, Hybrid",6-10 hours,3-5 hours
4/18/2021 13:55:57,2,2.0,3,2,2,4,2.0,1,2,No,No,,No,,No,,,,Male,Asian,fourth year,Dietrich College,6.0,6.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,No,No,With friend(s) (off campus),,No,No,No,,,,
4/19/2021 20:00:20,1,2.0,4,2,2,3,1.0,2,5,No,Yes,"Dog, Cat, 9 chickens in the backyard",Yes,Cat,No,1-2 hours,No,Less than 1 year,Female,Asian,third year,Tepper School of Business,7.0,3.0,"I have read and understood the information provided above, and I willingly agree to participate in this research study.",5.0,I am 18 years old or older.,No,No,With random roommate(s) (off campus),,Yes,No,,,Online,less than 1 hour,
